bgt_type,polygon,x_min,y_max,x_max,y_min
pand,"[[119301.161, 485131.208], [119301.4417, 485131.3294], [119303.7257, 485132.3171], [119303.915, 485132.399], [119303.8351, 485132.5838], [119303.0023, 485134.5088], [119302.9778, 485134.5655], [119302.962, 485134.602], [119300.3242, 485133.4609], [119300.209, 485133.411], [119300.2673, 485133.2759], [119301.1285, 485131.2833], [119301.161, 485131.208]]",119300.209,485134.602,119303.915,485131.208
pand,"[[119291.054, 485150.1071], [119290.2701, 485149.8766], [119289.9326, 485150.4442], [119288.5845, 485149.867], [119288.353, 485149.768], [119288.5259, 485149.3637], [119292.053, 485141.1121], [119292.483, 485140.106], [119293.9287, 485136.8262], [119293.965, 485136.744], [119293.9851, 485136.7525], [119299.7214, 485139.172], [119299.885, 485139.241], [119299.7985, 485139.456], [119298.0083, 485143.9037], [119296.4635, 485147.7417], [119296.2747, 485148.2109], [119295.9124, 485149.111], [119295.817, 485149.348], [119295.7102, 485149.5957], [119295.6845, 485149.6555], [119295.5825, 485149.8921], [119295.3407, 485150.4531], [119295.2568, 485150.2785], [119295.1907, 485150.4178], [119294.3456, 485150.0527], [119293.0859, 485149.5084], [119291.59, 485148.862], [119291.5208, 485149.0228], [119291.054, 485150.1071]]",119288.353,485150.4531,119299.885,485136.744
pand,"[[119313.3076, 485119.3374], [119313.327, 485120.6886], [119313.6899, 485121.0479], [119314.1968, 485120.7982], [119314.316, 485121.013], [119314.7122, 485121.7983], [119314.6532, 485121.8431], [119314.731, 485121.8356], [119314.837, 485122.046], [119314.9205, 485122.2364], [119315.0366, 485122.5011], [119315.302, 485123.106], [119315.512, 485123.644], [119315.5682, 485123.8069], [119315.3154, 485123.9256], [119315.3303, 485124.0013], [119315.3677, 485124.1924], [119315.4932, 485124.8336], [119316.0825, 485125.3915], [119316.345, 485126.413], [119316.4181, 485126.7543], [119316.4659, 485126.978], [119316.472, 485127.009], [119315.2742, 485127.4181], [119315.145, 485127.4622], [119306.698, 485130.347], [119305.0022, 485130.982], [119304.942, 485131.0045], [119304.4041, 485131.206], [119304.2787, 485131.1488], [119303.625, 485130.8507], [119303.207, 485130.66], [119303.1929, 485130.6222], [119302.4127, 485128.5373], [119302.401, 485128.506], [119302.6986, 485128.3946], [119303.9869, 485127.9126], [119304.8359, 485127.595], [119304.7087, 485127.2845], [119303.0859, 485123.323], [119299.6357, 485121.8438], [119299.417, 485121.75], [119299.303, 485122.016], [119299.1548, 485121.9552], [119298.762, 485121.7939], [119298.6266, 485121.7382], [119298.026, 485121.448], [119297.9926, 485121.4779], [119293.4511, 485119.613], [119293.5636, 485119.3393], [119293.58, 485119.2992], [119294.6395, 485116.7214], [119297.3097, 485110.2249], [119297.827, 485108.966], [119298.0536, 485109.0591], [119300.2789, 485109.9734], [119303.8409, 485111.437], [119303.9952, 485111.5081], [119304.6989, 485111.8321], [119304.892, 485111.921], [119305.916, 485112.46], [119306.3052, 485112.6857], [119306.416, 485112.75], [119306.897, 485113.0552], [119307.3929, 485113.37], [119307.8401, 485113.689], [119308.335, 485114.042], [119308.792, 485114.397], [119309.4711, 485114.9687], [119309.677, 485115.142], [119310.2543, 485115.6844], [119310.9056, 485116.6242], [119310.9895, 485116.4182], [119311.702, 485117.205], [119312.073, 485117.649], [119312.2784, 485117.9163], [119312.778, 485118.566], [119313.3076, 485119.3374]]",119293.4511,485131.206,119316.472,485108.966
pand,"[[119309.6039, 485150.1348], [119309.4108, 485150.2277], [119307.923, 485150.944], [119307.854, 485150.803], [119303.9074, 485150.4474], [119303.1752, 485150.3815], [119302.249, 485150.298], [119302.2996, 485150.1715], [119302.5356, 485149.5807], [119303.3862, 485147.4521], [119305.516, 485142.1223], [119306.374, 485139.975], [119306.4442, 485139.8054], [119307.6971, 485136.7797], [119307.728, 485136.705], [119308.0144, 485136.8273], [119314.8323, 485139.7399], [119315.2, 485139.897], [119315.1459, 485140.0231], [119311.874, 485147.65], [119311.911, 485147.687], [119309.694, 485149.989], [119309.726, 485150.076], [119309.6039, 485150.1348]]",119302.249,485150.944,119315.2,485136.705
pand,"[[119295.817, 485149.348], [119295.9634, 485148.9842], [119297.754, 485144.5356], [119298.3606, 485143.0285], [119299.885, 485139.241], [119300.1248, 485138.6941], [119300.1384, 485138.6627], [119300.5376, 485137.7519], [119300.606, 485137.596], [119301.2103, 485137.8453], [119306.2002, 485139.9033], [119306.374, 485139.975], [119306.355, 485140.0225], [119305.1545, 485143.027], [119304.6124, 485144.3836], [119302.483, 485149.7123], [119302.249, 485150.298], [119302.163, 485150.415], [119302.052, 485150.3658], [119298.775, 485148.913], [119298.3463, 485149.9108], [119297.6583, 485149.6433], [119297.4382, 485150.047], [119296.1709, 485149.5006], [119295.817, 485149.348]]",119295.817,485150.415,119306.374,485137.596
pand,"[[119358.7481, 485142.2724], [119358.7911, 485142.3716], [119358.9518, 485142.7421], [119359.023, 485142.9062], [119359.0798, 485143.0373], [119359.1464, 485143.1909], [119359.9815, 485145.1169], [119360.2402, 485145.7136], [119361.2092, 485147.9484], [119361.252, 485148.047], [119361.6111, 485148.8757], [119361.691, 485149.06], [119358.8128, 485150.3084], [119358.415, 485150.481], [119359.0717, 485151.8801], [119359.1757, 485152.511], [119359.1998, 485152.6576], [119356.94, 485153.627], [119356.361, 485153.3945], [119355.9275, 485153.2203], [119355.827, 485153.18], [119354.9312, 485151.2156], [119354.831, 485150.996], [119354.93, 485150.948], [119354.975, 485150.9262], [119355.258, 485150.789], [119355.0582, 485150.3772], [119353.5934, 485147.3578], [119351.5596, 485143.1656], [119351.1833, 485142.3899], [119350.9592, 485141.9281], [119350.9475, 485141.9038], [119350.9, 485141.806], [119351.2386, 485141.5978], [119351.9, 485141.191], [119352.2729, 485140.982], [119352.412, 485140.904], [119353.217, 485140.4938], [119353.3499, 485140.5681], [119353.3671, 485140.4173], [119353.458, 485140.371], [119353.992, 485140.126], [119354.1962, 485140.0417], [119354.2654, 485140.0131], [119355.077, 485139.678], [119355.628, 485139.476], [119355.6569, 485139.4662], [119356.184, 485139.288], [119356.4002, 485139.2247], [119357.1627, 485139.0014], [119357.311, 485138.958], [119357.4704, 485139.3257], [119357.9193, 485140.3609], [119358.0387, 485140.6363], [119358.0285, 485140.6629], [119358.1579, 485140.9112], [119358.7481, 485142.2724]]",119350.9,485153.627,119361.691,485138.958
pand,"[[119341.4895, 485155.1593], [119341.7823, 485154.5092], [119342.7933, 485152.2644], [119342.84, 485152.1608], [119343.0068, 485151.7905], [119344.9611, 485152.6118], [119345.6901, 485152.9181], [119348.6401, 485154.1577], [119348.717, 485154.19], [119348.6097, 485154.4395], [119346.3983, 485159.5848], [119346.3637, 485159.6656], [119345.7924, 485160.9946], [119345.3869, 485161.9382], [119344.3593, 485164.3291], [119344.3261, 485164.4062], [119343.7551, 485165.735], [119343.1887, 485167.0529], [119343.1915, 485166.5396], [119342.9059, 485167.1747], [119342.1241, 485166.5295], [119342.0355, 485166.3548], [119341.8315, 485165.9527], [119341.858, 485165.92], [119341.7851, 485165.8611], [119341.6165, 485165.725], [119341.4573, 485165.5965], [119340.9015, 485165.1477], [119340.8699, 485165.1221], [119339.988, 485164.41], [119339.799, 485164.644], [119339.4348, 485164.3464], [119339.4926, 485163.5363], [119339.1577, 485163.6793], [119338.98, 485160.167], [119339.1464, 485159.7974], [119339.315, 485159.423], [119339.591, 485159.541], [119339.7383, 485159.1971], [119339.7989, 485159.2429], [119339.8059, 485159.1441], [119339.8149, 485159.0185], [119340.6199, 485157.1398], [119340.7092, 485157.09], [119341.5232, 485156.6366], [119341.5895, 485156.5996], [119341.498, 485155.2822], [119341.4895, 485155.1593]]",119338.98,485167.1747,119348.717,485151.7905
pand,"[[119316.3431, 485129.9569], [119316.0398, 485130.8952], [119316.8541, 485131.9775], [119316.85, 485132.202], [119316.808, 485132.859], [119316.7706, 485133.2537], [119316.746, 485133.515], [119316.6639, 485134.168], [119316.4005, 485135.3552], [119316.0393, 485136.9833], [119316.0035, 485137.145], [119315.8372, 485137.102], [119315.1493, 485139.642], [119315.1029, 485139.8131], [119310.9552, 485138.0363], [119309.0938, 485137.2388], [119305.511, 485135.704], [119305.4252, 485135.4915], [119305.0614, 485134.5899], [119304.9625, 485134.3452], [119304.678, 485133.64], [119305.2411, 485132.3216], [119305.5573, 485131.5815], [119305.6311, 485131.4087], [119305.9272, 485130.7154], [119305.994, 485130.559], [119306.2347, 485130.4763], [119309.4202, 485129.3816], [119309.6371, 485129.307], [119310.1116, 485129.144], [119315.3384, 485127.3478], [119315.5068, 485127.2899], [119315.7435, 485127.2085], [119315.7225, 485127.6103], [119315.6886, 485128.2573], [119316.3431, 485129.9569]]",119304.678,485139.8131,119316.8541,485127.2085
pand,"[[119348.9506, 485154.2876], [119345.7759, 485152.9539], [119343.5172, 485152.0049], [119342.8826, 485151.7384], [119345.1512, 485147.6138], [119345.1146, 485147.2898], [119345.164, 485147.221], [119345.851, 485146.335], [119346.207, 485145.911], [119346.5945, 485145.4828], [119346.951, 485145.089], [119347.339, 485144.692], [119347.3574, 485144.6745], [119348.142, 485143.928], [119348.558, 485143.562], [119348.983, 485143.205], [119349.859, 485142.526], [119350.9, 485141.806], [119351.6055, 485143.2602], [119352.5815, 485145.272], [119353.5654, 485147.3], [119354.8292, 485149.9051], [119355.258, 485150.789], [119354.9439, 485150.9413], [119354.831, 485150.996], [119354.042, 485151.611], [119353.9551, 485151.8178], [119353.5433, 485152.7976], [119353.5066, 485152.8852], [119352.8659, 485154.4097], [119352.7858, 485154.6005], [119352.7335, 485154.7249], [119352.4025, 485155.5126], [119352.322, 485155.704], [119352.2022, 485155.6537], [119351.8281, 485155.4965], [119348.9506, 485154.2876]]",119342.8826,485155.704,119355.258,485141.806
pand,"[[119308.0759, 485089.1021], [119309.0193, 485089.5014], [119309.29, 485089.616], [119309.0178, 485090.2589], [119308.3915, 485091.7378], [119308.1043, 485092.4161], [119306.6314, 485095.8503], [119306.6359, 485095.8834], [119306.5341, 485096.1239], [119306.452, 485096.3173], [119306.4012, 485096.2879], [119306.4093, 485096.3335], [119304.0002, 485095.3494], [119304.1382, 485095.2508], [119303.7147, 485095.0737], [119303.573, 485095.1748], [119303.5216, 485095.1538], [119303.5796, 485095.0172], [119294.1344, 485091.0684], [119296.9169, 485084.5375], [119296.9742, 485084.4028], [119306.3925, 485088.3895], [119307.4207, 485088.8247], [119308.0759, 485089.1021]]",119294.1344,485096.3335,119309.29,485084.4028
