bgt_type,polygon,x_min,y_max,x_max,y_min
pand,"[[119318.17, 485247.61], [119318.836, 485246.035], [119321.355, 485247.115], [119324.941, 485238.632], [119311.181, 485232.779], [119311.1, 485232.969], [119310.129, 485235.253], [119308.831, 485238.304], [119308.82, 485238.329], [119309.539, 485240.1], [119309.567, 485240.112], [119311.17, 485240.779], [119310.515, 485242.35], [119310.469, 485242.459], [119311.43, 485244.72], [119318.17, 485247.61]]",119308.82,485247.61,119324.941,485232.779
pand,"[[119326.355, 485250.839], [119328.658, 485245.299], [119325.999, 485244.194], [119323.696, 485249.734], [119323.991, 485249.857], [119325.935, 485250.665], [119326.355, 485250.839]]",119323.696,485250.839,119328.658,485244.194
pand,"[[119302.116, 485301.147], [119302.269, 485301.509], [119306.88, 485303.443], [119306.795, 485303.646], [119311.379, 485305.567], [119311.464, 485305.364], [119316.11, 485307.309], [119316.493, 485307.128], [119317.347, 485305.11], [119318.48, 485305.59], [119321.713, 485297.946], [119306.416, 485291.476], [119306.251, 485291.417], [119302.1, 485301.11], [119302.116, 485301.147]]",119302.1,485307.309,119321.713,485291.417
pand,"[[119339.782, 485254.957], [119339.65, 485254.901], [119345.867, 485239.726], [119345.735, 485239.671], [119338.605, 485236.708], [119332.139, 485252.268], [119332.924, 485252.594], [119333.0052975, 485252.7588298], [119333.0970925, 485252.9180523], [119333.199, 485253.071], [119333.3106149, 485253.2170586], [119333.4314505, 485253.3555856], [119333.561, 485253.486], [119333.592, 485253.513], [119333.7989483, 485253.6845974], [119334.0212877, 485253.8357213], [119334.257, 485253.965], [119334.503791, 485254.071202], [119334.7595639, 485254.1534505], [119335.022, 485254.211], [119335.2715853, 485254.2417738], [119335.5229219, 485254.2501294], [119335.774, 485254.236], [119336.0225612, 485254.1995469], [119336.2668777, 485254.141058], [119336.505, 485254.061], [119337.004, 485254.27], [119339.439, 485255.291], [119339.612, 485255.364], [119339.782, 485254.957]]",119332.139,485255.364,119345.867,485236.708
pand,"[[119353.911, 485261.316], [119360.377, 485245.756], [119353.25, 485242.794], [119353.119, 485242.74], [119346.743, 485257.883], [119346.609, 485257.827], [119346.444, 485258.235], [119346.647, 485258.318], [119349.073, 485259.309], [119349.553, 485259.505], [119349.6642116, 485259.7240304], [119349.7940028, 485259.9325888], [119349.9413952, 485260.129103], [119350.1052777, 485260.3120916], [119350.2844151, 485260.4801754], [119350.477457, 485260.6320872], [119350.6829481, 485260.7666819], [119350.8993395, 485260.882945], [119351.125, 485260.98], [119351.366632, 485261.0594806], [119351.614426, 485261.1169381], [119351.866379, 485261.151908], [119352.1204545, 485261.1641078], [119352.3745989, 485261.1534388], [119352.626758, 485261.1199873], [119352.8748936, 485261.0640235], [119353.117, 485260.986], [119353.911, 485261.316]]",119346.444,485261.316,119360.377,485242.74
pand,"[[119343.539, 485209.749], [119345.746, 485204.316], [119346.35, 485202.834], [119344.246, 485201.97], [119343.674, 485201.735], [119343.643, 485201.785], [119340.841, 485208.645], [119343.539, 485209.749]]",119340.841,485209.749,119346.35,485201.735
pand,"[[119346.609, 485257.827], [119346.743, 485257.883], [119353.119, 485242.74], [119353.25, 485242.794], [119353.415, 485242.397], [119353.283, 485242.342], [119346.034, 485239.33], [119345.9, 485239.274], [119345.735, 485239.671], [119345.867, 485239.726], [119339.65, 485254.901], [119339.782, 485254.957], [119342.207, 485255.976], [119346.609, 485257.827]]",119339.65,485257.883,119353.415,485239.274
pand,"[[119350.931, 485307.562], [119357.543, 485291.804], [119351.039, 485289.095], [119344.613, 485304.346], [119347.982, 485305.749], [119347.774, 485306.248], [119350.931, 485307.562]]",119344.613,485307.562,119357.543,485289.095
pand,"[[119362.907, 485218.715], [119365.66, 485211.91], [119351.249, 485205.989], [119351.052, 485206.472], [119348.476, 485212.787], [119347.695, 485214.704], [119345.989, 485218.88], [119353.047, 485221.764], [119355.921, 485222.939], [119360.449, 485224.789], [119362.13, 485220.635], [119362.907, 485218.715]]",119345.989,485224.789,119365.66,485205.989
pand,"[[119338.511, 485301.773], [119344.903, 485286.507], [119337.872, 485283.686], [119336.621, 485286.805], [119333.055, 485295.7], [119331.714, 485299.048], [119335.362, 485300.51], [119335.161, 485301.011], [119338.301, 485302.27], [119338.511, 485301.773]]",119331.714,485302.27,119344.903,485283.686
pand,"[[119329.19, 485221.509], [119330.23, 485218.963], [119326.898, 485217.602], [119325.858, 485220.148], [119329.19, 485221.509]]",119325.858,485221.509,119330.23,485217.602
pand,"[[119357.867, 485309.346], [119364.075, 485294.503], [119357.543, 485291.804], [119350.931, 485307.562], [119350.818, 485307.82], [119357.375, 485310.529], [119357.867, 485309.346]]",119350.818,485310.529,119364.075,485291.804
pand,"[[119362.17, 485234.481], [119363.41, 485231.549], [119358.91, 485229.729], [119357.686, 485232.622], [119357.67, 485232.66], [119362.17, 485234.481]]",119357.67,485234.481,119363.41,485229.729
