bgt_type,polygon,x_min,y_max,x_max,y_min
rijbaan_lokale_weg,"[[119312.661, 485104.654], [119292.56, 485096.442], [119289.18, 485095.053], [119289.1671856, 485095.0494781], [119289.154513, 485095.0454762], [119289.142, 485095.041], [119289.1298041, 485095.0361148], [119289.1177986, 485095.030779], [119289.106, 485095.025], [119265.377, 485085.435], [119264.102, 485088.561], [119310.242, 485107.462], [119312.971, 485108.696], [119314.1971687, 485109.2827925], [119315.3769572, 485109.9580068], [119316.504, 485110.718], [119317.6633585, 485111.6364936], [119318.745663, 485112.6446403], [119319.744, 485113.736], [119320.0636254, 485114.1285795], [119320.3759938, 485114.5269576], [119320.681, 485114.931], [119320.9786007, 485115.340654], [119321.2686332, 485115.7557006], [119321.551, 485116.176], [119320.023, 485113.139], [119319.578, 485112.212], [119319.216, 485111.249], [119318.942, 485110.258], [119318.758, 485109.247], [119318.665, 485108.223], [119318.663, 485107.195], [119318.754, 485106.17], [119318.936, 485105.158], [119319.141, 485104.151], [119319.257, 485103.343], [119319.191, 485103.475], [119318.9157516, 485103.8075759], [119318.6115761, 485104.1139183], [119318.2809623, 485104.3915205], [119317.9266156, 485104.6381109], [119317.5514355, 485104.8516719], [119317.1584918, 485105.0304559], [119316.751, 485105.173], [119316.3104711, 485105.2825262], [119315.861529, 485105.3497025], [119315.4082354, 485105.3739212], [119314.9546913, 485105.3549632], [119314.505, 485105.293], [119312.828, 485104.721], [119312.7989721, 485104.7124275], [119312.7702916, 485104.7027561], [119312.742, 485104.692], [119312.7145308, 485104.68035], [119312.6875181, 485104.6676774], [119312.661, 485104.654]]",119264.102,485116.176,119321.551,485085.435
rijbaan_lokale_weg,"[[119330.633, 485181.809], [119315.963, 485175.645], [119303.785, 485170.529], [119302.193, 485169.86], [119302.7872473, 485170.2455502], [119303.3481538, 485170.6781731], [119303.872, 485171.155], [119304.1849105, 485171.4805085], [119304.4805093, 485171.821815], [119304.758, 485172.178], [119305.276219, 485172.7487368], [119305.7584899, 485173.350157], [119306.203, 485173.98], [119306.3960385, 485174.2813777], [119306.5804216, 485174.5881272], [119306.756, 485174.9], [119306.8422956, 485175.0618101], [119306.9263012, 485175.224821], [119307.008, 485175.389], [119307.0873418, 485175.5542426], [119307.1643469, 485175.7205869], [119307.239, 485175.888], [119307.661, 485179.057], [119308.274, 485184.896], [119308.2987779, 485185.0384801], [119308.3128042, 485185.1824168], [119308.316, 485185.327], [119308.3057466, 485185.4980324], [119308.2803464, 485185.6674786], [119308.24, 485185.834], [119308.069, 485186.415], [119313.551, 485188.681], [119313.654, 485188.41], [119313.6829364, 485188.368552], [119313.7150009, 485188.3294735], [119313.75, 485188.293], [119313.7849016, 485188.2616911], [119313.8219657, 485188.2329748], [119313.861, 485188.207], [119317.36, 485185.745], [119322.122, 485182.876], [119322.3878593, 485182.7363147], [119322.6575993, 485182.6042788], [119322.931, 485182.48], [119323.2075374, 485182.3637011], [119323.48728, 485182.2553384], [119323.77, 485182.155], [119324.03, 485182.07], [119324.3421073, 485181.9786758], [119324.6568731, 485181.8969834], [119324.974, 485181.825], [119325.2930088, 485181.7628257], [119325.6137763, 485181.7104759], [119325.936, 485181.668], [119326.681784, 485181.6058682], [119327.4297106, 485181.5801811], [119328.178, 485181.591], [119328.8903436, 485181.6353046], [119329.5998555, 485181.7126938], [119330.305, 485181.823], [119330.4664668, 485181.8499288], [119330.6268684, 485181.8826093], [119330.786, 485181.921], [119330.943743, 485181.965077], [119331.0998095, 485182.0147649], [119331.254, 485182.07], [119330.633, 485181.809]]",119302.193,485188.681,119331.254,485169.86
rijbaan_lokale_weg,"[[119302.001, 485217.709], [119303.395, 485214.24], [119304.092, 485212.471], [119306.344, 485207.047], [119306.3476204, 485207.0348757], [119306.3516217, 485207.0228717], [119306.356, 485207.011], [119306.3606487, 485206.9995138], [119306.3656503, 485206.9881769], [119306.371, 485206.977], [119306.422, 485206.802], [119307.774, 485203.322], [119308.804, 485200.786], [119309.936, 485198.015], [119310.207, 485197.298], [119310.235, 485197.241], [119313.551, 485188.681], [119308.069, 485186.415], [119308.054, 485186.464], [119304.659, 485195.03], [119304.349, 485195.755], [119302.157, 485201.248], [119300.069, 485206.558], [119299.114, 485208.808], [119299.087, 485208.864], [119294.4, 485220.496], [119294.382, 485220.552], [119293.826, 485221.924], [119293.8203712, 485221.9388167], [119293.8143699, 485221.9534865], [119293.808, 485221.968], [119293.8013501, 485221.9821732], [119293.7943487, 485221.9961762], [119293.787, 485222.01], [119290.61, 485229.845], [119290.6063404, 485229.8600894], [119290.6023398, 485229.875092], [119290.598, 485229.89], [119290.5933324, 485229.9047786], [119290.5883315, 485229.9194477], [119290.583, 485229.934], [119288.29, 485235.621], [119288.0151931, 485236.1437348], [119287.7009028, 485236.6437269], [119287.349, 485237.118], [119286.9105758, 485237.6175059], [119286.4304735, 485238.0770968], [119285.9123127, 485238.4933074], [119285.36, 485238.863], [119284.798733, 485239.1599256], [119284.2118094, 485239.4022194], [119283.6045324, 485239.5876921], [119282.9823889, 485239.7146681], [119282.351, 485239.782], [119281.7816996, 485239.7911462], [119281.2136884, 485239.7517792], [119280.6510927, 485239.664185], [119280.098, 485239.529], [119288.058, 485243.296], [119295.628, 485246.878], [119295.3762455, 485246.7117068], [119295.1327266, 485246.5335711], [119294.898, 485246.344], [119294.5212552, 485245.9973268], [119294.1738507, 485245.6212562], [119293.8580729, 485245.2182632], [119293.576, 485244.791], [119293.3288097, 485244.3537657], [119293.1205789, 485243.8966914], [119292.9528855, 485243.4232404], [119292.827, 485242.937], [119292.7447921, 485242.4490401], [119292.7046938, 485241.955831], [119292.707, 485241.461], [119292.7447042, 485241.1146483], [119292.801764, 485240.7709547], [119292.878, 485240.431], [119292.968191, 485240.1117659], [119293.0752928, 485239.7978008], [119293.199, 485239.49], [119297.789, 485228.213], [119301.926, 485217.855], [119301.9336952, 485217.8347381], [119301.9420313, 485217.8147313], [119301.951, 485217.795], [119301.9607088, 485217.7753371], [119301.9710457, 485217.7559971], [119301.982, 485217.737], [119302.001, 485217.709]]",119280.098,485246.878,119313.551,485186.415
rijbaan_lokale_weg,"[[119293.003, 485300.027], [119294.014, 485297.693], [119294.061, 485297.581], [119300.057, 485283.442], [119300.549, 485282.282], [119301.767, 485279.409], [119308.912, 485262.379], [119306.643, 485261.453], [119304.391, 485260.534], [119304.349248, 485260.854049], [119304.29019, 485261.1713606], [119304.214, 485261.485], [119304.1208693, 485261.794143], [119304.0110948, 485262.0977748], [119303.885, 485262.395], [119303.875432, 485262.4178471], [119303.8647568, 485262.4401983], [119303.853, 485262.462], [119303.8403249, 485262.4829882], [119303.8266476, 485262.5033375], [119303.812, 485262.523], [119296.243, 485280.291], [119288.298, 485299.078], [119281.685, 485314.683], [119276.714, 485326.58], [119276.659, 485326.712], [119276.47, 485327.126], [119276.1619591, 485327.6831253], [119275.8040269, 485328.2095875], [119275.3992321, 485328.7009316], [119274.951, 485329.153], [119274.526179, 485329.5132935], [119274.0737581, 485329.8382545], [119273.5966681, 485330.1257775], [119273.098, 485330.374], [119272.4726174, 485330.6117522], [119271.8277309, 485330.7899401], [119271.169, 485330.907], [119270.4749307, 485330.9628156], [119269.7787248, 485330.9507775], [119269.087, 485330.871], [119284.13, 485337.158], [119283.67481, 485336.8936621], [119283.2422849, 485336.5936711], [119282.8352111, 485336.2599596], [119282.4562108, 485335.8946771], [119282.1077255, 485335.5001768], [119281.792, 485335.079], [119281.4996793, 485334.6140192], [119281.2472899, 485334.1262096], [119281.0366019, 485333.6189926], [119280.8690929, 485333.0959255], [119280.7459377, 485332.5606766], [119280.668, 485332.017], [119280.5971743, 485331.3109133], [119280.596171, 485330.6012841], [119280.665, 485329.895], [119280.7831642, 485329.2802352], [119280.9542617, 485328.6780523], [119281.177, 485328.093], [119281.1817206, 485328.0808848], [119281.1867215, 485328.0688827], [119281.192, 485328.057], [119281.1974094, 485328.0455392], [119281.203077, 485328.034204], [119281.209, 485328.023], [119289.103, 485309.275], [119290.085, 485306.967], [119293.003, 485300.027]]",119269.087,485337.158,119308.912,485260.534
rijbaan_lokale_weg,"[[119247.299, 485225.941], [119239.438, 485222.71], [119239.4225452, 485222.7061043], [119239.4072077, 485222.7017698], [119239.392, 485222.697], [119239.3768395, 485222.6917644], [119239.3618354, 485222.6860962], [119239.347, 485222.68], [119238.524, 485222.336], [119238.463, 485222.307], [119226.282, 485217.26], [119226.266864, 485217.2561469], [119226.2518589, 485217.251812], [119226.237, 485217.247], [119226.2224902, 485217.2417865], [119226.2081522, 485217.236118], [119226.194, 485217.23], [119223.553, 485216.134], [119220.826, 485214.986], [119220.8057641, 485214.979321], [119220.785757, 485214.971985], [119220.766, 485214.964], [119220.746363, 485214.9553045], [119220.7270227, 485214.9459678], [119220.708, 485214.936], [119213.233, 485211.813], [119213.2032326, 485211.8066524], [119213.1738684, 485211.798644], [119213.145, 485211.789], [119213.1169756, 485211.7778615], [119213.0896141, 485211.7651818], [119213.063, 485211.751], [119212.24, 485211.414], [119212.188, 485211.387], [119202.306, 485207.302], [119198.826, 485205.859], [119189.469, 485202.006], [119187.625, 485201.233], [119187.610859, 485201.2269815], [119187.5968567, 485201.2206471], [119187.583, 485201.214], [119187.5691683, 485201.206977], [119187.5554993, 485201.1996424], [119187.542, 485201.192], [119184.752, 485200.038], [119182.47, 485205.047], [119192.3, 485209.142], [119194.015, 485209.867], [119206.174, 485214.919], [119206.1894712, 485214.9235705], [119206.2048085, 485214.9285718], [119206.22, 485214.934], [119206.2351768, 485214.9399089], [119206.2501808, 485214.9462439], [119206.265, 485214.953], [119207.777, 485215.586], [119207.7911751, 485215.590866], [119207.8051803, 485215.5962013], [119207.819, 485215.602], [119207.8325519, 485215.6082235], [119207.8458901, 485215.6148926], [119207.859, 485215.622], [119220.443, 485220.818], [119221.046, 485221.079], [119221.715, 485221.331], [119221.7295081, 485221.3376382], [119221.7438445, 485221.3446397], [119221.758, 485221.352], [119221.7718653, 485221.3596574], [119221.7855348, 485221.3676591], [119221.799, 485221.376], [119229.278, 485224.479], [119232.14, 485225.649], [119235.195, 485226.913], [119257.422, 485235.66], [119261.01, 485237.162], [119261.0254468, 485237.1680562], [119261.0407818, 485237.1743902], [119261.056, 485237.181], [119261.0707897, 485237.1877403], [119261.0854579, 485237.194741], [119261.1, 485237.202], [119271.334, 485241.936], [119271.3965997, 485241.9593042], [119271.4589357, 485241.9833052], [119271.521, 485242.008], [119271.5826213, 485242.0333172], [119271.6439572, 485242.0593182], [119271.705, 485242.086], [119286.04, 485248.019], [119300.137, 485253.854], [119300.4592861, 485253.9927197], [119300.7751567, 485254.145485], [119301.084, 485254.312], [119301.402094, 485254.5025638], [119301.7109833, 485254.7077117], [119302.01, 485254.927], [119302.4225129, 485255.2965309], [119302.8030494, 485255.6989137], [119303.149002, 485256.1313912], [119303.458, 485256.591], [119303.7587353, 485257.1363809], [119304.0074537, 485257.7073635], [119304.202, 485258.299], [119304.3258006, 485258.8237877], [119304.4005898, 485259.3577683], [119304.4257279, 485259.8963747], [119304.401, 485260.435], [119304.3978544, 485260.4680188], [119304.3945211, 485260.5010191], [119304.391, 485260.534], [119306.643, 485261.453], [119310.08, 485252.894], [119308.45, 485252.22], [119300.898, 485249.101], [119296.606, 485247.379], [119296.4371215, 485247.307559], [119296.2704071, 485247.2312038], [119296.106, 485247.15], [119295.9440338, 485247.0640131], [119295.7846549, 485246.9733206], [119295.628, 485246.878], [119288.058, 485243.296], [119280.098, 485239.529], [119279.9937795, 485239.4981084], [119279.8901028, 485239.4654385], [119279.787, 485239.431], [119279.684354, 485239.3947493], [119279.582344, 485239.3567456], [119279.481, 485239.317], [119275.595, 485237.703], [119267.006, 485234.123], [119264.165, 485232.938], [119264.102, 485232.908], [119253.965, 485228.698], [119253.9495626, 485228.6947781], [119253.934225, 485228.6911104], [119253.919, 485228.687], [119253.9038568, 485228.6824365], [119253.8888526, 485228.6774351], [119253.874, 485228.672], [119250.158, 485227.121], [119247.383, 485225.971], [119247.299, 485225.941]]",119182.47,485261.453,119310.08,485200.038
rijbaan_lokale_weg,"[[119271.571, 485155.7], [119258.72, 485150.189], [119255.127, 485156.409], [119255.71, 485156.734], [119268.925, 485164.368], [119271.355, 485165.344], [119273.757, 485166.16], [119273.79, 485166.17], [119273.822, 485166.181], [119274.363, 485166.335], [119274.957, 485166.496], [119275.553, 485166.645], [119276.153, 485166.783], [119276.755, 485166.911], [119277.339, 485167.022], [119279.85, 485167.385], [119279.886, 485167.388], [119279.921, 485167.393], [119280.532, 485167.449], [119281.201, 485167.5], [119281.869, 485167.537], [119282.538, 485167.56], [119283.208, 485167.571], [119283.876, 485167.567], [119284.548, 485167.551], [119285.215, 485167.521], [119285.883, 485167.477], [119286.55, 485167.421], [119291.259, 485166.919], [119293.66, 485166.642], [119294.189, 485166.598], [119294.72, 485166.57], [119295.254, 485166.559], [119295.786, 485166.564], [119296.318, 485166.586], [119296.848, 485166.625], [119297.379, 485166.679], [119297.959, 485166.759], [119298.571, 485166.906], [119299.126, 485167.056], [119299.679, 485167.221], [119300.225, 485167.402], [119300.765, 485167.596], [119301.301, 485167.806], [119302.711, 485168.403], [119304.404, 485169.074], [119303.785, 485170.529], [119315.963, 485175.645], [119316.533, 485174.258], [119323.548, 485157.524], [119322.607, 485157.14], [119313.993, 485153.497], [119311.791, 485152.566], [119311.471, 485152.631], [119311.1331973, 485152.6894725], [119310.7941373, 485152.7401482], [119310.454, 485152.783], [119310.0568347, 485152.8230071], [119309.6587392, 485152.8523475], [119309.26, 485152.871], [119308.961, 485154.402], [119279.209, 485156.935], [119278.701, 485156.969], [119278.179, 485156.988], [119277.657, 485156.99], [119277.132, 485156.975], [119276.611, 485156.942], [119276.092, 485156.892], [119275.574, 485156.826], [119275.058, 485156.743], [119274.544, 485156.642], [119274.035, 485156.525], [119273.53, 485156.392], [119273.03, 485156.242], [119272.535, 485156.077], [119272.043, 485155.894], [119271.571, 485155.7]]",119255.127,485175.645,119323.548,485150.189
rijbaan_lokale_weg,"[[119783.78, 485119.704], [119787.434, 485111.21], [119793.309, 485097.218], [119793.5195941, 485096.7884665], [119793.7700243, 485096.3808715], [119794.0580271, 485095.9988987], [119794.381, 485095.646], [119794.7362244, 485095.3252004], [119795.1203208, 485095.0396016], [119795.5298143, 485094.7917875], [119795.961, 485094.584], [119796.3702891, 485094.4306976], [119796.7913546, 485094.3135524], [119797.2210091, 485094.2334511], [119797.656, 485094.191], [119798.0931942, 485094.1865259], [119798.5291214, 485094.220085], [119798.9604792, 485094.2914232], [119799.384, 485094.4], [119791.896, 485091.724], [119790.279, 485095.552], [119790.2529747, 485095.6045053], [119790.2230124, 485095.6548677], [119790.1892884, 485095.7027928], [119790.152, 485095.748], [119790.10858, 485095.7928926], [119790.0616477, 485095.8340994], [119790.011515, 485095.8713466], [119789.958515, 485095.9043866], [119789.903, 485095.933], [119788.125, 485096.615], [119788.0380035, 485096.6639308], [119787.9554718, 485096.7200657], [119787.878, 485096.783], [119787.8088848, 485096.8494154], [119787.7454108, 485096.9212412], [119787.688, 485096.998], [119778.878, 485117.871], [119777.571, 485120.913], [119778.737, 485121.418], [119778.7747288, 485121.4373395], [119778.8106154, 485121.4599146], [119778.8443829, 485121.4855512], [119778.8757709, 485121.5140516], [119778.9045374, 485121.5451959], [119778.9304604, 485121.578744], [119778.9533401, 485121.6144371], [119778.973, 485121.652], [119778.9898751, 485121.692757], [119779.0029596, 485121.7348843], [119779.012144, 485121.77803], [119779.0173518, 485121.8218339], [119779.0185394, 485121.8659303], [119779.015697, 485121.9099511], [119779.0088483, 485121.9535286], [119778.9980504, 485121.996299], [119778.9833935, 485122.0379053], [119778.965, 485122.078], [119778.206, 485123.814], [119776.969, 485126.831], [119776.9488962, 485126.8724671], [119776.9251848, 485126.9119824], [119776.8980537, 485126.9492328], [119776.8677178, 485126.9839231], [119776.8344175, 485127.0157786], [119776.7984165, 485127.0445469], [119776.76, 485127.07], [119776.7209835, 485127.0912004], [119776.6802939, 485127.1089798], [119776.6382305, 485127.1232072], [119776.5951027, 485127.1337782], [119776.5512278, 485127.1406148], [119776.5069285, 485127.1436669], [119776.4625305, 485127.1429119], [119776.4183605, 485127.1383555], [119776.3747434, 485127.1300311], [119776.332, 485127.118], [119775.173, 485126.606], [119771.329, 485135.536], [119771.3228887, 485135.5481258], [119771.3172196, 485135.5604645], [119771.312, 485135.573], [119771.3071932, 485135.585839], [119771.3028579, 485135.5988447], [119771.299, 485135.612], [119771.2933953, 485135.6394663], [119771.290278, 485135.6673247], [119771.2896731, 485135.6953505], [119771.2915856, 485135.7233175], [119771.296, 485135.751], [119771.3030262, 485135.7786555], [119771.312549, 485135.8055536], [119771.3244889, 485135.8314695], [119771.338746, 485135.8561865], [119771.3552011, 485135.8794979], [119771.3737167, 485135.9012089], [119771.3941379, 485135.921138], [119771.4162941, 485135.9391184], [119771.44, 485135.955], [119775.992, 485137.91], [119783.38, 485120.59], [119783.78, 485119.704]]",119771.2896731,485137.91,119799.384,485091.724
rijbaan_lokale_weg,"[[119735.937, 485123.937], [119736.179, 485121.928], [119735.5856402, 485121.694032], [119734.9916387, 485121.4616981], [119734.397, 485121.231], [119733.8019596, 485121.002028], [119733.2062914, 485120.7746941], [119732.61, 485120.549], [119731.531, 485120.137], [119730.621, 485121.901], [119735.858, 485123.905], [119735.937, 485123.937]]",119730.621,485123.937,119736.179,485120.137
rijbaan_lokale_weg,"[[119735.937, 485123.937], [119735.858, 485123.905], [119730.621, 485121.901], [119730.42, 485122.29], [119730.41, 485122.6], [119735.656, 485124.639], [119735.884, 485124.372], [119735.937, 485123.937]]",119730.41,485124.639,119735.937,485121.901
rijbaan_lokale_weg,"[[119771.645, 485121.96], [119771.038, 485121.637], [119773.517, 485115.594], [119784.289, 485090.149], [119787.476, 485082.606], [119788.615, 485078.623], [119790.189, 485074.911], [119790.9, 485073.31], [119791.111, 485072.655], [119791.2, 485072.34], [119792.35, 485066.06], [119792.3533389, 485066.0378832], [119792.3573401, 485066.0158766], [119792.362, 485065.994], [119792.3673451, 485065.9721555], [119792.3733469, 485065.9504823], [119792.38, 485065.929], [119792.3874409, 485065.9077898], [119792.3954428, 485065.8867849], [119792.404, 485065.866], [119792.4131241, 485065.8454117], [119792.422793, 485065.8250735], [119792.433, 485065.805], [119795.652, 485057.083], [119796.887, 485053.327], [119798.206, 485049.082], [119794.602, 485047.46], [119793.376, 485051.258], [119792.087, 485054.375], [119792.100517, 485054.4262824], [119792.1105323, 485054.478362], [119792.117, 485054.531], [119792.1198846, 485054.5836717], [119792.1192169, 485054.6364182], [119792.115, 485054.689], [119792.1062776, 485054.7472477], [119792.0932536, 485054.8046867], [119792.076, 485054.861], [119792.0546301, 485054.9158345], [119792.0292502, 485054.9689321], [119792.0, 485055.02], [119791.8150453, 485055.339927], [119791.6273741, 485055.658268], [119791.437, 485055.975], [119791.244002, 485056.2899946], [119791.0483306, 485056.6033355], [119790.85, 485056.915], [119790.5489848, 485057.378751], [119790.2423028, 485057.8387741], [119789.93, 485058.295], [119789.6121745, 485058.7472885], [119789.288825, 485059.1956443], [119788.96, 485059.64], [119788.21, 485060.56], [119788.1659623, 485060.6054221], [119788.1182902, 485060.6470136], [119788.0673158, 485060.6844848], [119788.0133941, 485060.7175746], [119787.9569009, 485060.7460526], [119787.8982296, 485060.7697202], [119787.8377889, 485060.7884128], [119787.776, 485060.802], [119787.71324, 485060.8103921], [119787.6499985, 485060.8135168], [119787.5867169, 485060.8113523], [119787.5238367, 485060.8039138], [119787.4617967, 485060.7912532], [119787.4010299, 485060.7734587], [119787.3419603, 485060.7506546], [119787.285, 485060.723], [119787.2264767, 485060.6880806], [119787.1713294, 485060.6480417], [119787.1200045, 485060.6032076], [119787.0729178, 485060.5539412], [119787.0304505, 485060.5006414], [119786.9929464, 485060.4437399], [119786.9607092, 485060.3836974], [119786.934, 485060.321], [119786.9130587, 485060.2562418], [119786.8980157, 485060.1898651], [119786.8889924, 485060.122406], [119786.8860619, 485060.0544091], [119786.8892476, 485059.9864238], [119786.8985239, 485059.9189989], [119786.9138159, 485059.8526791], [119786.935, 485059.788], [119785.708, 485062.574], [119783.41, 485067.366], [119780.041, 485075.367], [119780.0689704, 485075.3199168], [119780.1011147, 485075.2755782], [119780.1371654, 485075.234353], [119780.1768225, 485075.1965843], [119780.2197562, 485075.1625862], [119780.2656092, 485075.1326418], [119780.314, 485075.107], [119780.3456249, 485075.093146], [119780.377994, 485075.0811327], [119780.411, 485075.071], [119780.4449052, 485075.0622421], [119780.4792811, 485075.0555672], [119780.514, 485075.051], [119780.5486254, 485075.0485698], [119780.5833343, 485075.048236], [119780.618, 485075.05], [119780.754, 485075.076], [119781.183, 485075.23], [119781.2293168, 485075.2441494], [119781.2743571, 485075.2619487], [119781.3178339, 485075.2832846], [119781.35947, 485075.3080209], [119781.399, 485075.336], [119781.4362334, 485075.3670993], [119781.4708625, 485075.4010746], [119781.5026656, 485075.4377087], [119781.5314395, 485075.4767671], [119781.557, 485075.518], [119781.5786327, 485075.5601948], [119781.5968525, 485075.6039717], [119781.6115448, 485075.6490551], [119781.6226172, 485075.6951612], [119781.63, 485075.742], [119781.6336404, 485075.7891085], [119781.6335483, 485075.8363573], [119781.6297245, 485075.8834512], [119781.6221927, 485075.9300959], [119781.611, 485075.976], [119780.409, 485079.877], [119778.916, 485083.741], [119778.106, 485085.822], [119778.0997013, 485085.840596], [119778.0926979, 485085.8589382], [119778.085, 485085.877], [119778.0766604, 485085.894671], [119778.0676561, 485085.9120126], [119778.058, 485085.929], [119778.047934, 485085.9457204], [119778.0372626, 485085.9620611], [119778.026, 485085.978], [119778.0142164, 485085.9934464], [119778.0018776, 485086.0084531], [119777.989, 485086.023], [119763.721, 485119.412], [119763.7111453, 485119.4466039], [119763.6994676, 485119.4806358], [119763.686, 485119.514], [119763.6709846, 485119.5461932], [119763.6543026, 485119.5775553], [119763.636, 485119.608], [119763.055, 485120.788], [119760.425, 485125.828], [119760.3918003, 485125.8985469], [119760.3525694, 485125.9659264], [119760.3076066, 485126.0296244], [119760.2572554, 485126.0891544], [119760.2018999, 485126.1440621], [119760.1419629, 485126.1939283], [119760.0779019, 485126.2383722], [119760.0102059, 485126.2770546], [119759.9393917, 485126.3096802], [119759.866, 485126.336], [119759.7938283, 485126.3551057], [119759.7203121, 485126.3681117], [119759.645966, 485126.3749271], [119759.5713104, 485126.375504], [119759.4968679, 485126.3698384], [119759.4231595, 485126.35797], [119759.3507012, 485126.3399819], [119759.28, 485126.316], [119759.2210818, 485126.2888136], [119759.1646899, 485126.2567137], [119759.1112329, 485126.2199332], [119759.0610985, 485126.1787386], [119759.0146501, 485126.1334286], [119758.9722244, 485126.0843317], [119758.9341289, 485126.0318037], [119758.9006398, 485125.9762255], [119758.872, 485125.918], [119758.8462357, 485125.8510733], [119758.8268764, 485125.7820213], [119758.8140934, 485125.7114552], [119758.808, 485125.64], [119756.962, 485125.002], [119756.534, 485126.014], [119756.400594, 485126.2669772], [119756.2524201, 485126.5115975], [119756.09, 485126.747], [119755.9138414, 485126.972433], [119755.7246192, 485127.1870183], [119755.523, 485127.39], [119755.2225495, 485127.6525554], [119754.9013458, 485127.8892705], [119754.561605, 485128.0985121], [119754.2056712, 485128.2788366], [119753.836, 485128.429], [119753.4157007, 485128.5583306], [119752.9853355, 485128.6486839], [119752.548511, 485128.6993029], [119752.1088878, 485128.7097632], [119751.6701502, 485128.6799772], [119751.2359747, 485128.6101945], [119750.81, 485128.501], [119760.147, 485135.636], [119767.366, 485141.226], [119768.032, 485140.312], [119767.7793661, 485140.0667718], [119767.549479, 485139.8001023], [119767.3441508, 485139.5140935], [119767.165, 485139.211], [119767.0380592, 485138.9501023], [119766.930534, 485138.6806214], [119766.843, 485138.404], [119766.8138697, 485138.3185585], [119766.7932088, 485138.2306839], [119766.7812141, 485138.1412136], [119766.778, 485138.051], [119766.7831464, 485137.9650358], [119766.7962673, 485137.879923], [119766.8172489, 485137.7963999], [119766.8459094, 485137.7151908], [119766.882, 485137.637], [119768.196, 485134.295], [119769.635, 485130.989], [119768.015, 485130.302], [119771.645, 485121.96]]",119750.81,485141.226,119798.206,485047.46
