bgt_type,linestring,x_min,y_max,x_max,y_min
tram,"[[120329.943, 485695.072], [120290.416, 485678.049], [120124.473, 485605.769], [119879.885, 485499.32], [119643.515, 485396.536], [119642.2314196, 485395.9566028], [119640.9644271, 485395.341778], [119639.715, 485394.692], [119638.4835232, 485394.0074375], [119637.2715445, 485393.2889192], [119636.08, 485392.537], [119634.243709, 485391.2244623], [119632.5294937, 485389.7560668], [119630.9505417, 485388.1431098], [119629.519, 485386.398], [119628.2456653, 485384.5338141], [119627.1406109, 485382.5652042], [119626.2123412, 485380.5073204], [119625.468, 485378.376], [119624.9456456, 485376.474221], [119624.5159763, 485374.5493829], [119624.18, 485372.606], [119623.9385271, 485370.6488578], [119623.7920793, 485368.6823208], [119623.741, 485366.711], [119623.706, 485345.877], [119623.7023514, 485345.1586003], [119623.6930179, 485344.440252], [119623.678, 485343.722], [119623.6234211, 485342.1062679], [119623.540079, 485340.4917639], [119623.428, 485338.879], [119622.599537, 485332.6353455], [119621.1900753, 485326.4966982], [119619.212, 485320.517], [119616.7449067, 485314.8746556], [119613.7715811, 485309.4818887], [119610.317, 485304.384], [119607.9322938, 485301.4210722], [119605.3624318, 485298.6172222], [119602.618, 485295.984], [119599.7104103, 485293.5323368], [119596.6515438, 485291.2722337], [119593.454, 485289.213], [119591.0889009, 485287.8240683], [119588.6986308, 485286.4789163], [119586.284, 485285.178], [119583.0285484, 485283.5132813], [119579.73322, 485281.9289631], [119576.4, 485280.426], [119569.147, 485277.262], [119566.2894571, 485276.0415152], [119563.4132238, 485274.8657532], [119560.519, 485273.735], [119557.6080014, 485272.6497169], [119554.6804307, 485271.6099659], [119551.737, 485270.616], [119546.317, 485268.834], [119523.3, 485261.814], [119517.0113797, 485259.7876648], [119510.7893427, 485257.5652706], [119504.64, 485255.149], [119498.5689996, 485252.5410507], [119492.5827062, 485249.744135], [119486.687, 485246.761], [119440.788, 485222.623], [119432.8239043, 485218.6592063], [119424.6908346, 485215.0548118], [119416.405, 485211.817], [119407.9831208, 485208.952289], [119399.4417802, 485206.4663042], [119390.798, 485204.364], [119369.226, 485199.624], [119366.3862382, 485198.8689785], [119363.6229212, 485197.8697867], [119360.957, 485196.634], [119358.4093996, 485195.1714396], [119355.9986439, 485193.4928665], [119353.743, 485191.611], [119352.9064338, 485190.8146905], [119352.0909156, 485189.9968384], [119351.297, 485189.158], [119350.7281182, 485188.5290322], [119350.1713835, 485187.8892874], [119349.627, 485187.239], [119342.779, 485178.921], [119341.9642802, 485177.9517903], [119341.1278036, 485177.0012942], [119340.27, 485176.07], [119339.1324607, 485174.8975798], [119337.9611268, 485173.7589219], [119336.757, 485172.655], [119333.5346247, 485170.0424935], [119330.1039016, 485167.71032], [119326.4891517, 485165.6750127], [119322.716, 485163.951], [119318.2444698, 485162.3775242], [119313.6424247, 485161.2410427], [119308.9524639, 485160.5520755], [119304.218, 485160.317], [119303.2184423, 485160.3226303], [119302.2190493, 485160.3416315], [119301.22, 485160.374], [119299.7220195, 485160.4476295], [119298.2258186, 485160.5513101], [119296.732, 485160.685], [119288.008, 485161.557], [119285.4980132, 485161.7106123], [119282.9836401, 485161.6711382], [119280.4797123, 485161.4388106], [119278.001, 485161.015], [119275.2943898, 485160.3226486], [119272.6566549, 485159.4020811], [119270.107, 485158.26], [119268.7020941, 485157.5436449], [119267.3086455, 485156.8052505], [119265.927, 485156.045], [119265.012803, 485155.5262165], [119264.104103, 485154.9978638], [119263.201, 485154.46], [119244.45, 485143.167], [119237.4617831, 485139.0756616], [119230.3753631, 485135.1568764], [119223.195, 485131.413], [119214.5613505, 485127.2016923], [119205.8088826, 485123.2432428], [119196.945, 485119.541], [119192.7394473, 485117.8734943], [119188.5152665, 485116.2537582], [119184.273, 485114.682], [119178.5897805, 485112.6614159], [119172.8766791, 485110.7269353], [119167.135, 485108.879], [119152.154, 485104.181], [119147.788616, 485102.7430681], [119143.4661058, 485101.1809762], [119139.19, 485099.496], [119133.9150876, 485097.2189199], [119128.7248794, 485094.7548716], [119123.626, 485092.107], [119097.009, 485077.674], [119090.188668, 485074.0784728], [119083.2860749, 485070.6435125], [119076.305, 485067.371], [119070.6668, 485064.8714186], [119064.9828029, 485062.4778057], [119059.255, 485060.191], [119033.123, 485050.043], [119028.475632, 485048.2649709], [119023.8108115, 485046.5332472], [119019.129, 485044.848], [119014.4309063, 485043.2094804], [119009.7167509, 485041.6177613], [119004.987, 485040.073], [118998.278, 485037.918], [118995.5624629, 485037.0249291], [118992.8599461, 485036.0931992], [118990.171, 485035.123], [118987.4964935, 485034.1146529], [118984.8366463, 485033.0682485], [118982.192, 485031.984], [118897.108, 484996.409], [118868.357, 484984.145]]",118868.357,485695.072,120329.943,484984.145
tram,"[[118864.852, 484985.61], [118886.84, 484994.988], [118907.479, 485003.525], [118977.13, 485032.843], [118981.4498171, 485034.6216926], [118985.7968359, 485036.3328312], [118990.17, 485037.976], [118993.4668222, 485039.1636828], [118996.7773064, 485040.3127351], [119000.101, 485041.423], [119010.53, 485044.839], [119013.3018796, 485045.7613803], [119016.0646338, 485046.7107437], [119018.818, 485047.687], [119020.6483926, 485048.3527911], [119022.4744184, 485049.0304673], [119024.296, 485049.72], [119054.852, 485061.398], [119061.2955331, 485063.9331491], [119067.6876989, 485066.5951624], [119074.026, 485069.383], [119081.8700816, 485073.0434216], [119089.6213259, 485076.8965392], [119097.275, 485080.94], [119121.097, 485093.902], [119126.4114224, 485096.6796031], [119131.8157715, 485099.2779055], [119137.304, 485101.694], [119142.8699267, 485103.9251676], [119148.5073626, 485105.9689299], [119154.21, 485107.823], [119166.731, 485111.663], [119181.4183983, 485116.5257003], [119195.877106, 485122.0312698], [119210.079, 485128.169], [119222.2732082, 485134.0487013], [119234.2314777, 485140.3945181], [119245.936, 485147.197], [119267.18, 485160.099], [119269.3557516, 485161.3046736], [119271.620473, 485162.3335472], [119273.959826, 485163.1791072], [119276.359, 485163.836], [119278.8031857, 485164.3001236], [119281.2765378, 485164.5684223], [119283.7633923, 485164.6391972], [119286.248, 485164.512], [119298.601, 485163.384], [119300.8711629, 485163.2283553], [119303.1460214, 485163.1746527], [119305.421, 485163.223], [119307.1244069, 485163.3261682], [119308.8233809, 485163.486562], [119310.516, 485163.704], [119314.294745, 485164.4042847], [119318.0014502, 485165.4190011], [119321.61, 485166.741], [119324.5871177, 485168.1024286], [119327.4593456, 485169.6731051], [119330.212, 485171.445], [119332.4285875, 485173.0660027], [119334.5655345, 485174.7906383], [119336.618, 485176.615], [119338.5813223, 485178.5349424], [119340.4510675, 485180.5461277], [119342.223, 485182.644], [119348.963, 485191.021], [119350.7530302, 485193.0569702], [119352.7126018, 485194.930326], [119354.827, 485196.627], [119357.0805644, 485198.1343835], [119359.4561784, 485199.440988], [119361.936, 485200.537], [119363.1518491, 485200.9920205], [119364.3805357, 485201.411141], [119365.621, 485201.794], [119366.8723974, 485202.140326], [119368.1334268, 485202.4497483], [119369.403, 485202.722], [119385.68, 485205.964], [119394.3787243, 485207.8984283], [119402.9830413, 485210.2169509], [119411.476, 485212.915], [119421.2216748, 485216.5353817], [119430.7668732, 485220.6553976], [119440.086, 485225.264], [119484.951, 485248.918], [119491.0864566, 485252.0305498], [119497.3164991, 485254.9491734], [119503.635, 485257.671], [119510.0358399, 485260.1933884], [119516.5126301, 485262.5138159], [119523.059, 485264.63], [119542.216, 485270.49], [119547.4609373, 485272.1521424], [119552.6716302, 485273.9187107], [119557.846, 485275.789], [119564.124111, 485278.2171662], [119570.3410152, 485280.7980133], [119576.493, 485283.53], [119579.4580175, 485284.9322085], [119582.3895483, 485286.4031416], [119585.286, 485287.942], [119587.4341531, 485289.1400944], [119589.5610364, 485290.3755536], [119591.666, 485291.648], [119596.1295413, 485294.6817205], [119600.306195, 485298.0996475], [119604.1629916, 485301.8748006], [119607.6694864, 485305.9773797], [119610.798, 485310.375], [119613.5237423, 485315.0327688], [119615.8253229, 485319.9140808], [119617.6845752, 485324.9804071], [119619.0868236, 485330.1917582], [119620.021, 485335.507], [119620.2594511, 485337.4929232], [119620.4584772, 485339.483184], [119620.618, 485341.477], [119620.7379579, 485343.4736092], [119620.8183018, 485345.4722045], [119620.859, 485347.472], [119621.078, 485368.385], [119621.1064618, 485369.6237067], [119621.1661411, 485370.8613022], [119621.257, 485372.097], [119621.3789858, 485373.330061], [119621.5320183, 485374.5596549], [119621.716, 485375.785], [119622.2701959, 485378.4022263], [119623.0694151, 485380.9553136], [119624.1064941, 485383.421378], [119625.3721371, 485385.7783154], [119626.855, 485388.005], [119628.3203925, 485389.8308963], [119629.9319066, 485391.5292176], [119631.6784797, 485393.0883054], [119633.5481223, 485394.4974573], [119635.528, 485395.747], [119636.4894178, 485396.284965], [119637.4625787, 485396.8013838], [119638.447, 485397.296], [119639.1094059, 485397.6135619], [119639.7764549, 485397.9212512], [119640.448, 485398.219], [119873.2, 485499.32], [120099.237, 485597.583], [120287.726, 485679.791], [120325.545, 485696.177], [120327.079, 485696.838]]",118864.852,485696.838,120327.079,484985.61
tram,"[[119827.566, 485177.423], [119830.915, 485179.194]]",119827.566,485179.194,119830.915,485177.423
tram,"[[119821.334, 485178.05], [119819.981, 485177.401], [119818.626, 485176.759]]",119818.626,485178.05,119821.334,485176.759
tram,"[[119824.948, 485176.038], [119827.566, 485177.423]]",119824.948,485177.423,119827.566,485176.038
tram,"[[119739.116, 485137.096], [119731.629, 485133.95]]",119731.629,485137.096,119739.116,485133.95
tram,"[[119763.593, 485150.449], [119761.862, 485149.424], [119760.172, 485148.415]]",119760.172,485150.449,119763.593,485148.415
tram,"[[119800.438, 485168.903], [119798.588, 485168.114], [119796.74, 485167.318]]",119796.74,485168.903,119800.438,485167.318
tram,"[[120187.957, 485331.546], [119834.614, 485181.097]]",119834.614,485331.546,120187.957,485181.097
tram,"[[119749.194, 485137.957], [119752.276, 485139.635]]",119749.194,485139.635,119752.276,485137.957
tram,"[[119750.505, 485142.677], [119747.975, 485141.292]]",119747.975,485142.677,119750.505,485141.292
tram,"[[119752.276, 485139.635], [119754.222, 485140.764], [119756.156, 485141.914]]",119752.276,485141.914,119756.156,485139.635
tram,"[[119752.147, 485143.629], [119760.172, 485148.415]]",119752.147,485148.415,119760.172,485143.629
tram,"[[119775.163, 485152.932], [119783.128, 485157.075], [119791.214, 485160.978]]",119775.163,485160.978,119791.214,485152.932
tram,"[[119675.723, 485112.031], [119674.477, 485111.502]]",119674.477,485112.031,119675.723,485111.502
tram,"[[119731.629, 485133.95], [119728.122, 485132.558]]",119728.122,485133.95,119731.629,485132.558
