Type,X,Y
verkeersbord,119307,485100
verkeersbord,119322.615,485134.422
verkeersbord,119319.359,485145.594
verkeersbord,119302.723,485107.02
verkeersbord,119320.032,485101.222
boom,119332.723,485144.426
boom,119331.75,485132.416
boom,119337.215,485134.38
boom,119327.529,485142.238
boom,119304.664,485108.356
boom,119340.022,485145.709
boom,119318.928,485121.16
boom,119335.066,485101.015
boom,119312.808,485113.415
lichtmast,119318.92,485146.91
lichtmast,119338.8,485123.26
lichtmast,119341.54,485113.77
lichtmast,119322.7068,485124.8289
lichtmast,119313.33,485103.61
lichtmast,119325.14,485103.36
lichtmast,119333.552,485134.8726
verkeersbord,119894,485261
verkeersbord,119874.796,485285.746
verkeersbord,119894.988,485274.278
verkeersbord,119867.334,485275.048
verkeersbord,119866.905,485292.879
boom,119857.102,485282.645
boom,119896.7,485284.588
boom,119853.427,485273.547
boom,119894.729,485275.701
boom,119886.449,485280.211
boom,119878.133,485298.74
boom,119889.365,485287.756
boom,119894.831,485261.235
lichtmast,119871.09,485273.6
lichtmast,119896.61,485255.64
lichtmast,119891.84,485266.87
lichtmast,119895.0349,485287.8594
lichtmast,119898.73,485296.42
lichtmast,119882.7314,485298.6801
lichtmast,119876.24,485287.02
lichtmast,119871.59,485278.13
lichtmast,119866.91,485289.85
