bgt_type,x,y
lichtmast,119318.758,485146.799
lichtmast,119334.726,485153.871
lichtmast,119325.188,485103.206
lichtmast,119322.317,485122.907
lichtmast,119341.615,485113.823
lichtmast,119312.907,485104.038
lichtmast,119338.735,485122.563
lichtmast,119298.865,485105.734
boom,119304.206,485107.907
boom,119336.933,485134.216
boom,119312.511,485113.21
boom,119331.571,485132.385
boom,119330.656,485097.054
boom,119318.868,485120.956
boom,119327.372,485142.216
boom,119328.188,485154.259
boom,119340.261,485145.428
boom,119323.181,485152.102
boom,119332.521,485144.204
verkeersbord,119307.0,485100.0
verkeersbord,119354.283,485120.822
verkeersbord,119322.615,485134.422
verkeersbord,119319.359,485145.594
verkeersbord,119302.723,485107.02
verkeersbord,119320.032,485101.222
verkeersbord,119334.82,485153.813
verkeersbord,119311.242,485098.289
lichtmast,119891.719,485266.768
lichtmast,119901.956,485271.985
lichtmast,119876.85,485287.845
lichtmast,119866.883,485289.909
lichtmast,119896.612,485255.638
lichtmast,119871.537,485278.187
lichtmast,119887.245,485292.216
lichtmast,119895.0349,485287.8594
lichtmast,119898.73,485296.42
lichtmast,119882.7314,485298.6801
boom,119853.49,485273.29
boom,119886.287,485280.055
boom,119889.133,485287.524
boom,119894.323,485260.968
boom,119894.57,485275.44
boom,119889.08,485303.32
boom,119896.714,485284.385
boom,119857.245,485282.483
boom,119899.819,485247.739
boom,119877.99,485298.42
verkeersbord,119894.0,485261.0
verkeersbord,119849.0,485283.0
verkeersbord,119900.498,485296.988
verkeersbord,119874.796,485285.746
verkeersbord,119894.988,485274.278
verkeersbord,119867.334,485275.048
verkeersbord,119866.905,485292.879
